DATE,TAVG,TMAX,TMIN
2021-01-01,34.0,36.0,29.0
2021-01-02,39.0,42.0,32.0
2021-01-03,33.0,36.0,29.0
2021-01-04,34.0,39.0,31.0
2021-01-05,32.0,33.0,30.0
2021-01-06,33.0,40.0,30.0
2021-01-07,34.0,42.0,29.0
2021-01-08,32.0,41.0,26.0
2021-01-09,29.0,36.0,24.0
2021-01-10,33.0,41.0,27.0
2021-01-11,31.0,36.0,24.0
2021-01-12,33.0,42.0,27.0
2021-01-13,35.0,40.0,31.0
2021-01-14,35.0,39.0,31.0
2021-01-15,36.0,41.0,33.0
2021-01-16,42.0,52.0,37.0
2021-01-17,39.0,43.0,34.0
2021-01-18,40.0,45.0,31.0
2021-01-19,33.0,41.0,27.0
2021-01-20,34.0,38.0,25.0
2021-01-21,26.0,32.0,21.0
2021-01-22,35.0,43.0,30.0
2021-01-23,31.0,34.0,17.0
2021-01-24,22.0,31.0,16.0
2021-01-25,26.0,36.0,19.0
2021-01-26,28.0,35.0,22.0
2021-01-27,30.0,36.0,28.0
2021-01-28,31.0,33.0,16.0
2021-01-29,15.0,18.0,7.0
2021-01-30,13.0,20.0,8.0
2021-01-31,14.0,23.0,7.0
2021-02-01,27.0,35.0,22.0
2021-02-02,32.0,40.0,30.0
2021-02-03,31.0,34.0,28.0
2021-02-04,33.0,37.0,29.0
2021-02-05,32.0,41.0,26.0
2021-02-06,36.0,42.0,30.0
2021-02-07,32.0,37.0,26.0
2021-02-08,25.0,29.0,19.0
2021-02-09,24.0,27.0,21.0
2021-02-10,25.0,31.0,20.0
2021-02-11,25.0,30.0,19.0
2021-02-12,19.0,27.0,11.0
2021-02-13,23.0,29.0,17.0
2021-02-14,29.0,33.0,26.0
2021-02-15,31.0,32.0,27.0
2021-02-16,33.0,40.0,30.0
2021-02-17,29.0,32.0,23.0
2021-02-18,27.0,31.0,24.0
2021-02-19,28.0,30.0,25.0
2021-02-20,27.0,31.0,23.0
2021-02-21,26.0,33.0,19.0
2021-02-22,29.0,40.0,19.0
2021-02-23,38.0,43.0,34.0
2021-02-24,42.0,50.0,37.0
2021-02-25,44.0,47.0,33.0
2021-02-26,33.0,40.0,28.0
2021-02-27,35.0,47.0,30.0
2021-02-28,40.0,44.0,36.0
2021-03-01,39.0,44.0,26.0
2021-03-02,23.0,28.0,13.0
2021-03-03,33.0,50.0,23.0
2021-03-04,39.0,43.0,27.0
2021-03-05,29.0,36.0,24.0
2021-03-06,29.0,36.0,22.0
2021-03-07,29.0,38.0,22.0
2021-03-08,32.0,38.0,25.0
2021-03-09,45.0,61.0,36.0
2021-03-10,43.0,48.0,34.0
2021-03-11,50.0,74.0,36.0
2021-03-12,59.0,65.0,47.0
2021-03-13,44.0,49.0,32.0
2021-03-14,41.0,49.0,24.0
2021-03-15,24.0,30.0,17.0
2021-03-16,26.0,36.0,20.0
2021-03-17,40.0,53.0,31.0
2021-03-18,43.0,49.0,38.0
2021-03-19,39.0,44.0,31.0
2021-03-20,43.0,61.0,32.0
2021-03-21,48.0,58.0,36.0
2021-03-22,46.0,58.0,35.0
2021-03-23,48.0,57.0,38.0
2021-03-24,48.0,53.0,40.0
2021-03-25,51.0,62.0,46.0
2021-03-26,59.0,70.0,53.0
2021-03-27,53.0,59.0,43.0
2021-03-28,46.0,59.0,42.0
2021-03-29,51.0,54.0,42.0
2021-03-30,47.0,60.0,36.0
2021-03-31,56.0,70.0,44.0
2021-04-01,51.0,58.0,35.0
2021-04-02,35.0,41.0,29.0
2021-04-03,38.0,50.0,30.0
2021-04-04,47.0,62.0,33.0
2021-04-05,52.0,58.0,47.0
2021-04-06,52.0,61.0,46.0
2021-04-07,52.0,58.0,46.0
2021-04-08,53.0,56.0,45.0
2021-04-09,51.0,59.0,44.0
2021-04-10,59.0,78.0,48.0
2021-04-11,53.0,60.0,45.0
2021-04-12,47.0,51.0,43.0
2021-04-13,49.0,58.0,44.0
2021-04-14,49.0,51.0,46.0
2021-04-15,48.0,54.0,42.0
2021-04-16,42.0,45.0,35.0
2021-04-17,42.0,51.0,39.0
2021-04-18,51.0,63.0,44.0
2021-04-19,54.0,63.0,48.0
2021-04-20,62.0,76.0,51.0
2021-04-21,59.0,72.0,38.0
2021-04-22,42.0,47.0,34.0
2021-04-23,47.0,60.0,38.0
2021-04-24,61.0,74.0,50.0
2021-04-25,55.0,57.0,50.0
2021-04-26,52.0,57.0,47.0
2021-04-27,53.0,69.0,45.0
2021-04-28,56.0,60.0,49.0
2021-04-29,49.0,50.0,48.0
2021-04-30,55.0,65.0,43.0
