,Linear regression,,Decision Tree Regressor,,,
Location,Mean Squared Error: ,R2 Score: ,Mean Squared Error: ,R2 Score: ,,
BU #82 Warren Towers 35,67377.7331180751,0.0556986412461838,69109.9194139194,0.0314219878610945,,
BU 685 Comm Ave,100976.516048402,0.233205310386646,86001.527638191,0.346922262004064,,
BU #87 College of Engineering,78854.7925924103,0.0473363979631158,3293.83729662078,0.960206364123717,,
BU #108 Agganis Arena,130728.798081008,0.123984088834434,26532.1149773071,0.822207843886144,,
BU #102 Student Health Services,229846.249010561,0.338282067108051,172392.421052632,0.503689283613482,,
BU #90 - School of Law,88341.6306385578,0.0719555829007386,74976.9928400955,0.212353461067177,,
BU #35 22 Babbit,95327.0473616633,0.0641262927998133,9284.53731343284,0.908849014045354,,
BU #72 Rafik B Hariri,39883.9454972524,0.0435408561274097,24249.7746144721,0.418464788834417,,
BU #48 Student Village #2,148228.055191439,0.0556698372372084,11504.5005045409,0.926707215986025,,
BU MED - 15 Stoughton,11507.8978574742,0.135986960441621,4812.63977746871,0.638666976894513,,
BU #38 Life Sciences,95935.7873106331,0.0615287266950016,34917.7662337662,0.658424437251302,,
BU #96 808 Commonwealth,79336.2321458321,0.058535393187572,66867.7293233083,0.206496214994304,,
BU 140 Bay State Rd,115795.258312892,0.0653223706208361,46770.0100502513,0.622481241833876,,
BU #2 Student Village,127073.726087659,0.0146828765273556,12790.1281669151,0.900826609227011,,
BU #43 West Loading Dock,105729.658944952,0.0777626236383546,44344.4542996214,0.613201124475732,,
BU #93 George Sherman Union,82775.436720399,0.0675960985015921,4561.17234262126,0.948621776505606,,
BU #18 - Warren Hall,126664.12475022,0.0215493337462805,7535.3631840796,0.941791086130616,,
BU Med 700,108457.661029349,0.11190125996387,61338.4761904762,0.497733743255286,,
BU Med #815 Albany,82560.993896015,0.149602117630089,47452.0,0.511233108881399,,
BU #69 - Graduate Apartments,84195.8499744981,0.288560322412898,29582.303030303,0.750034899148386,,
BU #46 30 Bay State,159623.366825412,0.0759297145525318,11556.3064182195,0.933099773654803,,
BU Fenway,148890.768361113,0.0404665904053595,52497.8567901235,0.661675145633845,,
BU #4 Yawkey,96888.2731856199,0.152238778200231,90969.1428571429,0.204030486260176,,
BU Fenway,120358.891889297,0.0664316761988063,21926.3436123348,0.829927481618193,,
BU #4 Yawkey,6135.54875804862,0.102901600365735,10376.6666666667,-0.517205946410821,,
BU #93 George Sherman Union,6816.87096712792,0.238823943971658,2250.02985074627,0.748760266110969,,
BU #105 Kilachand Hall,211732.558604794,0.359139226014371,112856.470588235,0.658412076219886,,
