STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-01-01,46,52,44
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-01-02,45,46,33
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-01-03,29,33,21
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-01-04,23,31,17
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-01-05,37,51,27
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-01-06,40,43,32
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-01-07,31,33,23
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-01-08,24,28,17
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-01-09,31,43,21
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-01-10,33,40,22
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-01-11,16,22,8
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-01-12,22,42,10
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-01-13,36,46,29
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-01-14,37,41,15
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-01-15,13,15,4
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-01-16,13,35,5
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-01-17,39,49,35
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-01-18,31,36,21
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-01-19,30,46,20
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-01-20,37,41,19
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-01-21,18,22,9
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-01-22,18,26,13
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-01-23,25,35,19
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-01-24,28,30,23
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-01-25,33,41,28
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-01-26,25,28,12
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-01-27,17,27,9
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-01-28,29,36,25
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-01-29,23,29,12
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-01-30,15,23,10
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-01-31,21,31,14
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-02-01,26,35,18
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-02-02,35,42,31
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-02-03,40,47,35
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-02-04,34,40,22
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-02-05,22,24,15
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-02-06,18,27,10
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-02-07,29,41,22
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-02-08,39,42,35
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-02-09,36,43,30
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-02-10,39,51,30
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-02-11,42,52,31
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-02-12,49,60,39
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-02-13,34,39,25
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-02-14,22,25,14
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-02-15,17,27,11
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-02-16,28,47,17
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-02-17,51,61,43
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-02-18,51,62,25
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-02-19,29,39,20
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-02-20,24,33,16
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-02-21,38,53,31
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-02-22,39,55,30
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-02-23,57,69,32
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-02-24,29,32,22
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-02-25,29,33,18
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-02-26,22,31,13
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-02-27,30,41,22
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-02-28,25,29,18
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-03-01,26,38,17
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-03-02,39,43,33
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-03-03,35,39,21
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-03-04,24,35,17
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-03-05,33,42,26
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-03-06,46,65,36
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-03-07,57,64,50
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-03-08,45,50,36
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-03-09,36,40,32
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-03-10,38,51,29
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-03-11,41,51,31
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-03-12,41,46,24
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-03-13,28,36,22
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-03-14,38,52,29
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-03-15,47,59,42
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-03-16,43,49,39
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-03-17,43,48,38
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-03-18,53,68,47
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-03-19,49,55,43
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-03-20,52,62,42
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-03-21,50,59,43
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-03-22,45,52,36
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-03-23,39,43,33
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-03-24,41,43,39
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-03-25,46,60,39
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-03-26,50,55,43
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-03-27,44,50,31
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-03-28,31,33,20
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-03-29,27,38,19
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-03-30,37,50,29
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-03-31,51,65,40
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-04-01,57,60,40
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-04-02,45,54,39
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-04-03,44,48,35
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-04-04,45,58,38
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-04-05,50,59,43
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-04-06,45,47,41
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-04-07,44,49,39
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-04-08,53,63,44
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-04-09,51,60,43
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-04-10,48,56,41
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-04-11,50,64,40
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-04-12,56,70,49
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-04-13,60,73,47
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-04-14,50,50,46
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-04-15,55,67,46
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-04-16,60,72,43
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-04-17,46,50,41
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-04-18,45,50,39
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-04-19,49,59,43
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-04-20,47,57,41
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-04-21,51,62,41
