readingDtUtz,valuePsi,celsius,fahrenheit
2021-08-26T10:39:08,832,22.56,72.608
2021-08-26T10:39:46,576,22.56,72.608
2021-08-26T10:44:58,552,22.56,72.608
2021-08-26T10:45:40,584,22.56,72.608
2021-08-26T19:48:40,672,39.45,103.01
2021-08-26T19:49:19,592,39.45,103.01
2021-08-26T21:42:33,736,35.53,95.954
2021-08-26T21:43:12,552,35.53,95.954
2021-08-27T21:27:56,600,28.28,82.904
2021-08-27T21:28:34,680,28.28,82.904
2021-08-27T23:02:25,624,28.28,82.904
2021-08-27T23:03:03,672,28.28,82.904
2021-08-29T07:24:06,608,18.04,64.47200000000001
2021-08-29T07:24:44,584,18.04,64.47200000000001
2021-08-29T18:20:20,192,21.68,71.024
2021-08-29T18:20:55,344,21.68,71.024
2021-08-29T18:21:30,736,21.68,71.024
2021-08-29T18:24:53,608,21.68,71.024
2021-08-30T09:20:24,184,22.76,72.968
2021-08-30T09:20:35,184,22.76,72.968
2021-08-30T11:21:31,184,22.76,72.968
2021-08-30T21:56:38,184,29.06,84.30799999999999
2021-08-30T21:57:35,1080,29.06,84.30799999999999
2021-08-30T21:58:13,1024,29.06,84.30799999999999
2021-08-30T21:59:17,1064,29.06,84.30799999999999
2021-08-30T21:59:55,1032,29.06,84.30799999999999
2021-08-31T11:22:04,872,22.44,72.392
2021-08-31T11:22:42,800,22.44,72.392
2021-08-31T19:53:21,872,28.26,82.868
2021-08-31T19:54:00,904,28.26,82.868
2021-08-31T22:38:04,184,24.4,75.92
2021-09-01T22:25:56,904,17.9,64.22
2021-09-02T09:47:41,928,15.89,60.602
2021-09-02T09:48:19,896,15.89,60.602
2021-09-02T09:49:08,824,15.89,60.602
2021-09-02T09:49:47,728,15.89,60.602
2021-09-02T11:23:52,776,15.89,60.602
2021-09-02T11:24:30,664,15.89,60.602
2021-09-02T22:14:23,832,19.85,67.73
2021-09-02T22:15:01,824,19.85,67.73
2021-09-03T12:37:36,176,15.58,60.044
2021-09-03T12:38:37,792,15.58,60.044
2021-09-03T17:37:41,768,22.68,72.824
2021-09-03T17:38:19,768,22.68,72.824
2021-09-03T19:25:01,768,22.68,72.824
2021-09-03T19:25:39,520,22.68,72.824
2021-09-03T19:26:28,512,22.68,72.824
2021-09-03T19:27:06,808,22.68,72.824
2021-09-03T21:32:21,168,20.43,68.774
2021-09-03T21:32:49,184,20.43,68.774
2021-09-05T17:17:45,808,22.13,71.834
2021-09-05T17:18:38,552,22.13,71.834
2021-09-06T05:28:27,168,20.77,69.386
2021-09-07T00:12:34,120,22.67,72.80600000000001
2021-09-07T13:47:50,928,18.79,65.822
2021-09-07T13:48:28,896,18.79,65.822
2021-09-07T19:20:39,936,26.1,78.98
2021-09-07T19:21:17,896,26.1,78.98
2021-09-07T19:39:50,872,26.1,78.98
2021-09-07T19:40:29,536,26.1,78.98
2021-09-07T22:24:13,896,21.98,71.564
2021-09-07T22:24:51,768,21.98,71.564
2021-09-08T11:24:12,160,21.15,70.07
2021-09-08T11:25:43,624,21.15,70.07
2021-09-08T11:27:51,776,21.15,70.07
2021-09-08T14:47:03,600,29.07,84.326
2021-09-08T14:47:41,616,29.07,84.326
2021-09-08T21:55:22,544,24.37,75.866
2021-09-08T21:56:00,528,24.37,75.866
2021-09-08T21:57:15,608,24.37,75.866
2021-09-08T21:57:54,624,24.37,75.866
2021-09-09T11:23:21,768,23.26,73.868
2021-09-09T11:23:59,616,23.26,73.868
2021-09-09T13:36:30,568,23.26,73.868
2021-09-09T13:37:08,552,23.26,73.868
2021-09-09T21:26:31,128,21.22,70.196
2021-09-10T11:22:49,184,19.35,66.83000000000001
2021-09-10T11:24:15,760,19.35,66.83000000000001
2021-09-10T11:24:53,688,19.35,66.83000000000001
2021-09-10T11:25:33,888,19.35,66.83000000000001
2021-09-10T11:26:11,768,19.35,66.83000000000001
2021-09-10T18:21:59,184,24.07,75.326
2021-09-10T18:23:32,592,24.07,75.326
2021-09-10T20:09:22,936,19.43,66.974
2021-09-10T20:10:00,632,19.43,66.974
2021-09-10T20:26:51,544,19.43,66.974
2021-09-10T20:27:29,520,19.43,66.974
2021-09-10T21:23:24,192,19.43,66.974
2021-09-11T07:29:50,200,15.09,59.162
2021-09-11T07:30:12,200,15.09,59.162
2021-09-11T18:23:27,160,24.42,75.956
2021-09-11T18:24:02,520,24.42,75.956
2021-09-12T18:36:32,184,28.24,82.832
2021-09-12T18:38:21,800,28.24,82.832
2021-09-12T20:44:38,184,24.68,76.424
2021-09-13T09:30:21,624,20.13,68.23400000000001
2021-09-13T09:31:00,248,20.13,68.23400000000001
2021-09-13T09:31:44,584,20.13,68.23400000000001
2021-09-13T09:32:22,616,20.13,68.23400000000001
2021-09-13T09:33:57,176,20.13,68.23400000000001
2021-09-13T09:35:09,744,20.13,68.23400000000001
2021-09-13T09:35:48,648,20.13,68.23400000000001
2021-09-13T09:36:57,640,20.13,68.23400000000001
2021-09-13T09:37:35,648,20.13,68.23400000000001
2021-09-13T11:43:44,640,20.13,68.23400000000001
2021-09-13T11:44:22,624,20.13,68.23400000000001
2021-09-13T14:04:44,672,25.69,78.242
2021-09-13T14:05:23,576,25.69,78.242
2021-09-13T19:38:01,160,25.69,78.242
2021-09-14T06:16:50,656,19.01,66.218
2021-09-14T18:45:14,176,22.9,73.22
2021-09-14T18:45:47,176,22.9,73.22
2021-09-15T05:19:41,192,20.08,68.144
2021-09-15T05:20:32,712,20.08,68.144
2021-09-15T07:45:58,672,20.08,68.144
2021-09-15T07:46:35,656,20.08,68.144
2021-09-15T07:47:05,176,20.08,68.144
2021-09-15T07:47:55,608,20.08,68.144
2021-09-15T07:48:33,584,20.08,68.144
2021-09-15T07:50:18,576,20.08,68.144
2021-09-15T07:50:59,560,20.08,68.144
2021-09-15T07:51:39,552,20.08,68.144
2021-09-15T07:52:18,544,20.08,68.144
2021-09-15T07:53:31,600,20.08,68.144
2021-09-15T07:54:09,640,20.08,68.144
2021-09-15T11:19:04,640,22.72,72.896
2021-09-15T11:19:42,624,22.72,72.896
2021-09-15T13:15:47,664,22.72,72.896
2021-09-15T13:17:09,672,22.72,72.896
2021-09-15T13:18:45,792,22.72,72.896
2021-09-15T13:19:24,816,22.72,72.896
2021-09-15T14:03:10,768,32.46,90.428
2021-09-15T14:03:49,744,32.46,90.428
2021-09-15T18:09:53,184,32.46,90.428
2021-09-15T22:53:21,984,25.65,78.17
2021-09-15T22:53:59,888,25.65,78.17
2021-09-16T08:21:11,864,19.85,67.73
2021-09-16T08:21:49,840,19.85,67.73
