readingDtUtz,valuePsi,celsius,fahrenheit
2021-10-01T07:24:43,1184,8.43,47.174
2021-10-01T13:06:32,1048,10.2,50.36
2021-10-01T18:43:32,1080,18.8,65.84
2021-10-01T18:44:08,1040,18.8,65.84
2021-10-01T19:22:02,1088,18.8,65.84
2021-10-01T19:37:30,1088,18.8,65.84
2021-10-01T20:58:17,1088,15.59,60.062
2021-10-01T23:40:18,1104,15.59,60.062
2021-10-06T10:49:38,576,13.58,56.444
2021-10-06T10:50:33,560,13.58,56.444
2021-10-06T10:53:13,544,13.58,56.444
2021-10-06T10:55:11,536,13.58,56.444
2021-10-06T10:55:48,528,13.58,56.444
2021-10-06T10:57:32,520,13.58,56.444
2021-10-06T13:22:43,512,13.58,56.444
2021-10-06T17:10:01,512,21.59,70.862
2021-10-06T19:03:48,520,21.59,70.862
2021-10-06T19:17:59,512,21.59,70.862
2021-10-06T19:32:19,512,21.59,70.862
2021-10-06T22:31:17,536,16.89,62.402
2021-10-07T12:50:27,464,13.72,56.696
2021-10-07T19:04:34,480,23.81,74.858
2021-10-07T19:18:54,480,23.81,74.858
2021-10-07T21:00:21,488,18.39,65.102
2021-10-07T21:38:06,496,18.39,65.102
2021-10-07T23:47:42,520,18.39,65.102
2021-10-08T07:29:57,560,14.2,57.56
2021-10-08T11:25:08,448,14.95,58.91
2021-10-08T13:19:41,456,14.95,58.91
2021-10-08T19:02:11,504,21.73,71.114
2021-10-08T19:02:46,488,21.73,71.114
2021-10-08T19:25:50,528,21.73,71.114
2021-10-08T20:56:48,512,15.99,60.782
2021-10-08T21:39:12,504,15.99,60.782
2021-10-08T22:48:41,184,15.99,60.782
2021-10-08T22:49:27,520,15.99,60.782
2021-10-12T12:39:51,488,13.32,55.976
2021-10-12T18:28:22,504,23.55,74.39
2021-10-12T18:50:13,512,23.55,74.39
2021-10-12T18:51:13,528,23.55,74.39
2021-10-12T19:17:14,480,23.55,74.39
2021-10-12T21:54:03,536,18.67,65.606
2021-10-12T21:54:40,488,18.67,65.606
2021-10-13T07:30:52,576,15.51,59.918
2021-10-13T13:00:18,272,15.18,59.324
2021-10-13T13:01:01,440,15.18,59.324
2021-10-13T19:03:34,480,24.63,76.334
2021-10-13T19:18:53,168,24.63,76.334
2021-10-13T19:19:38,464,24.63,76.334
2021-10-13T19:25:12,560,24.63,76.334
2021-10-13T19:26:38,560,24.63,76.334
2021-10-13T22:59:58,512,18.88,65.98400000000001
2021-10-13T23:00:38,584,18.88,65.98400000000001
2021-10-13T23:42:22,520,18.88,65.98400000000001
2021-10-14T13:06:32,576,15.89,60.602
2021-10-14T13:07:06,448,15.89,60.602
2021-10-14T13:08:13,448,15.89,60.602
2021-10-14T13:09:09,432,15.89,60.602
2021-10-14T13:10:38,376,15.89,60.602
2021-10-14T13:10:55,168,15.89,60.602
2021-10-14T13:11:28,464,15.89,60.602
2021-10-14T13:12:00,488,15.89,60.602
2021-10-14T13:12:49,408,15.89,60.602
