"readingDtUtz","valuePsi","celsius","fahrenheit"
"2022-01-06T09:08:36",712,-21.3,-6.340000000000003
"2022-01-06T09:11:47",736,-21.3,-6.340000000000003
"2022-01-06T09:13:07",712,-21.3,-6.340000000000003
"2022-01-06T09:18:12",736,-21.3,-6.340000000000003
"2022-01-13T09:30:45",712,2.27,36.086
"2022-01-13T09:32:42",544,2.27,36.086
"2022-01-13T09:33:55",432,2.27,36.086
"2022-01-13T09:46:51",400,2.27,36.086
"2022-01-13T10:55:46",672,2.27,36.086
"2022-01-13T12:00:59",648,2.27,36.086
"2022-01-13T12:05:17",640,2.27,36.086
"2022-01-14T06:52:54",752,2.54,36.572
"2022-01-18T07:04:29",864,-8.29,17.078000000000003
"2022-01-18T07:10:47",792,-8.29,17.078000000000003
"2022-01-18T07:19:06",792,-8.29,17.078000000000003
"2022-01-18T07:29:44",800,-8.29,17.078000000000003
"2022-01-18T07:37:09",800,-8.29,17.078000000000003
"2022-01-18T07:38:58",792,-8.29,17.078000000000003
"2022-01-18T07:46:55",784,-8.29,17.078000000000003
"2022-01-18T07:50:24",840,-8.29,17.078000000000003
"2022-01-18T12:04:22",936,-8.29,17.078000000000003
"2022-02-07T10:06:05",1216,-4.32,24.224
"2022-02-07T10:07:24",1232,-4.32,24.224
"2022-02-07T10:08:44",1184,-4.32,24.224
"2022-02-07T10:10:06",1080,-4.32,24.224
"2022-02-07T10:12:18",992,-4.32,24.224
"2022-02-07T10:16:02",960,-4.32,24.224
"2022-02-07T10:18:51",896,-4.32,24.224
"2022-02-07T10:23:31",1144,-4.32,24.224
"2022-02-07T10:27:04",1144,-4.32,24.224
"2022-02-07T10:29:52",1096,-4.32,24.224
"2022-02-07T10:32:15",1008,-4.32,24.224
"2022-02-07T10:35:10",816,-4.32,24.224
"2022-02-08T09:39:06",976,-0.53,31.046
"2022-02-08T09:50:38",984,-0.53,31.046
"2022-02-09T13:06:25",1112,4.61,40.298
"2022-02-09T13:08:18",1104,4.61,40.298
"2022-02-09T13:29:51",1144,4.61,40.298
"2022-02-09T13:55:33",1168,4.61,40.298
"2022-02-10T06:52:15",1216,0.07,32.126
"2022-02-10T09:19:35",1224,3.05,37.49
"2022-02-11T06:29:48",1232,1.31,34.358
"2022-02-11T10:46:05",1208,1.76,35.168
"2022-02-12T10:31:36",616,5.46,41.828
"2022-02-12T10:41:52",192,5.46,41.828
"2022-02-14T10:06:41",848,-10.68,12.776
"2022-02-14T10:08:01",608,-10.68,12.776
"2022-02-14T10:09:35",648,-10.68,12.776
"2022-02-14T10:12:01",696,-10.68,12.776
"2022-02-14T10:27:45",568,-10.68,12.776
"2022-02-14T10:51:02",640,-10.68,12.776
"2022-02-22T11:46:33",704,2.27,36.086
"2022-02-22T11:48:37",656,2.27,36.086
"2022-02-22T11:49:52",616,2.27,36.086
"2022-02-22T11:51:03",576,2.27,36.086
"2022-02-22T11:56:04",592,2.27,36.086
"2022-02-22T11:57:27",544,2.27,36.086
"2022-02-22T13:51:27",608,6.3,43.34
"2022-02-22T13:56:44",568,6.3,43.34
"2022-02-23T07:00:12",568,14.01,57.218
"2022-02-23T07:07:46",544,14.01,57.218
"2022-02-23T07:18:45",528,14.01,57.218
"2022-03-10T11:01:32",792,-3.38,25.916
"2022-03-10T11:02:37",760,-3.38,25.916
"2022-03-10T11:03:42",728,-3.38,25.916
"2022-03-10T11:04:56",680,-3.38,25.916
"2022-03-11T09:18:24",848,3.02,37.436
"2022-03-11T09:22:46",816,3.02,37.436
"2022-03-11T12:42:48",752,3.02,37.436
"2022-03-11T13:52:19",712,7.7,45.86
"2022-03-11T13:54:39",680,7.7,45.86
"2022-03-12T10:48:01",896,6.83,44.294
"2022-03-14T06:36:11",1056,-0.95,30.29
"2022-03-14T06:41:20",1096,-0.95,30.29
"2022-03-14T10:17:09",1144,0.32,32.576
"2022-03-14T10:20:31",1088,0.32,32.576
"2022-03-15T07:02:30",1008,4.41,39.938
"2022-03-15T08:25:20",984,7.44,45.392
"2022-03-15T13:32:03",1032,7.44,45.392
"2022-03-16T06:59:28",1152,4.72,40.496
"2022-03-17T06:40:35",1216,5.64,42.152
"2022-03-18T09:04:06",1144,10.92,51.656
"2022-03-18T09:08:59",1128,10.92,51.656
"2022-03-18T12:27:47",1152,10.92,51.656
"2022-03-21T06:25:12",1208,4.62,40.316
"2022-03-21T06:29:22",1248,4.62,40.316
"2022-03-21T15:45:18",1312,13.15,55.67
"2022-03-21T15:48:44",1352,13.15,55.67
"2022-03-23T06:34:14",504,0.38,32.684
"2022-03-24T13:17:39",704,0.77,33.386
"2022-03-24T14:43:11",864,4.82,40.676
"2022-03-25T07:56:04",712,1.81,35.258
"2022-03-25T09:28:22",696,3.07,37.525999999999996
"2022-03-25T15:22:06",616,13.49,56.282
"2022-03-26T10:50:01",640,9.03,48.254
"2022-03-28T12:39:10",928,-10.03,13.946000000000002
"2022-03-28T14:50:51",888,-5.42,22.244
"2022-03-29T09:39:09",1120,-10.48,13.136
"2022-03-30T06:26:38",1000,-3.98,24.836
"2022-03-30T06:29:50",968,-3.98,24.836
"2022-03-30T13:37:38",1120,-5.11,22.802
"2022-03-31T06:52:47",1008,3.13,37.634
"2022-03-31T15:48:22",928,18.03,64.45400000000001
"2022-04-01T07:24:07",952,14.92,58.856
"2022-04-01T10:02:51",952,15.2,59.36
"2022-04-01T14:32:04",944,14.37,57.866
"2022-04-01T15:24:19",856,14.37,57.866
