"readingDtUtz","valuePsi","celsius","fahrenheit"
"2022-04-01T07:50:58",352,14.92,58.856
"2022-04-01T07:51:30",344,14.92,58.856
"2022-04-01T08:10:25",344,14.49,58.082
"2022-04-01T08:10:57",336,14.49,58.082
"2022-04-01T08:11:36",336,14.49,58.082
"2022-04-01T08:12:06",328,14.49,58.082
"2022-04-01T09:20:41",336,14.49,58.082
"2022-04-01T09:21:12",336,14.49,58.082
"2022-04-01T10:32:24",360,14.49,58.082
"2022-04-01T10:32:55",344,14.49,58.082
"2022-04-01T11:11:46",336,14.49,58.082
"2022-04-01T11:12:16",336,14.49,58.082
"2022-04-01T13:01:46",344,14.49,58.082
"2022-04-01T13:02:17",336,14.49,58.082
"2022-04-01T14:03:57",408,14.25,57.650000000000006
"2022-04-01T14:04:28",336,14.25,57.650000000000006
"2022-04-01T14:17:22",336,14.25,57.650000000000006
"2022-04-01T14:17:54",336,14.25,57.650000000000006
"2022-04-01T14:18:33",328,14.25,57.650000000000006
"2022-04-01T14:19:04",320,14.25,57.650000000000006
"2022-04-01T16:47:56",336,14.25,57.650000000000006
"2022-04-01T16:48:27",320,14.25,57.650000000000006
"2022-04-01T17:32:16",336,14.25,57.650000000000006
"2022-04-01T17:32:48",320,14.25,57.650000000000006
"2022-04-01T18:19:31",344,14.25,57.650000000000006
"2022-04-01T18:20:02",344,14.25,57.650000000000006
"2022-04-01T18:43:11",360,14.25,57.650000000000006
"2022-04-01T18:43:42",352,14.25,57.650000000000006
"2022-04-01T20:41:24",368,6.08,42.944
"2022-04-01T20:41:55",352,6.08,42.944
"2022-04-01T23:32:51",360,6.08,42.944
"2022-04-01T23:33:22",392,6.08,42.944
"2022-04-02T10:14:08",472,-0.87,30.434
"2022-04-02T10:14:39",488,-0.87,30.434
"2022-04-02T10:15:13",464,-0.87,30.434
"2022-04-02T10:15:44",456,-0.87,30.434
"2022-04-02T10:28:11",456,-0.87,30.434
"2022-04-02T10:28:41",488,-0.87,30.434
"2022-04-02T14:16:29",512,10.22,50.396
"2022-04-02T14:17:00",424,10.22,50.396
"2022-04-02T14:39:46",536,10.22,50.396
"2022-04-02T14:40:16",560,10.22,50.396
"2022-04-02T16:51:00",536,10.22,50.396
"2022-04-02T16:51:31",472,10.22,50.396
"2022-04-02T19:31:43",448,10.22,50.396
"2022-04-02T19:32:14",456,10.22,50.396
"2022-04-02T19:34:34",456,10.22,50.396
"2022-04-02T19:35:05",464,10.22,50.396
"2022-04-02T20:43:48",528,9.26,48.668
"2022-04-02T20:44:19",536,9.26,48.668
"2022-04-02T21:06:19",576,9.26,48.668
"2022-04-02T21:06:50",472,9.26,48.668
"2022-04-02T23:25:21",568,9.26,48.668
"2022-04-02T23:25:52",544,9.26,48.668
"2022-04-03T09:05:00",560,4.23,39.614000000000004
"2022-04-03T09:05:31",544,4.23,39.614000000000004
"2022-04-03T13:13:33",536,4.23,39.614000000000004
"2022-04-03T13:14:03",544,4.23,39.614000000000004
"2022-04-03T13:27:13",640,4.23,39.614000000000004
"2022-04-03T13:27:44",520,4.23,39.614000000000004
"2022-04-03T13:28:16",616,4.23,39.614000000000004
"2022-04-03T13:28:46",536,4.23,39.614000000000004
"2022-04-03T15:00:34",512,7.91,46.238
"2022-04-03T15:01:06",536,7.91,46.238
"2022-04-03T16:36:34",560,7.91,46.238
"2022-04-03T16:37:05",552,7.91,46.238
"2022-04-03T16:37:38",584,7.91,46.238
"2022-04-03T16:38:09",552,7.91,46.238
"2022-04-03T17:45:33",504,7.91,46.238
"2022-04-03T17:46:04",536,7.91,46.238
"2022-04-03T17:54:05",528,7.91,46.238
"2022-04-03T17:54:36",512,7.91,46.238
"2022-04-03T18:20:55",576,7.91,46.238
"2022-04-03T18:21:26",576,7.91,46.238
"2022-04-03T19:41:10",560,7.91,46.238
"2022-04-03T19:41:40",528,7.91,46.238
"2022-04-03T20:19:26",576,5.58,42.044
"2022-04-03T20:19:57",528,5.58,42.044
"2022-04-03T20:33:49",464,5.58,42.044
"2022-04-03T20:34:21",440,5.58,42.044
"2022-04-03T23:26:16",392,5.58,42.044
"2022-04-03T23:26:47",384,5.58,42.044
"2022-04-04T07:27:22",400,1.18,34.124
"2022-04-04T07:27:54",424,1.18,34.124
"2022-04-04T10:36:37",464,0.46,32.828
"2022-04-04T10:38:53",472,0.46,32.828
"2022-04-04T10:39:25",440,0.46,32.828
"2022-04-04T10:52:00",424,0.46,32.828
"2022-04-04T10:52:31",408,0.46,32.828
"2022-04-04T11:00:35",448,0.46,32.828
