"readingDtUtz","valuePsi","celsius","fahrenheit"
"2021-08-26T13:00:51",328,26.63,79.934
"2021-08-26T13:01:22",320,26.63,79.934
"2021-08-26T13:18:19",312,26.63,79.934
"2021-08-26T13:18:51",312,26.63,79.934
"2021-08-26T14:22:42",312,38.94,102.092
"2021-08-26T14:23:13",312,38.94,102.092
"2021-08-31T13:56:50",312,22.73,72.914
"2021-08-31T13:57:22",312,22.73,72.914
"2021-09-02T13:20:48",320,16.11,60.998000000000005
"2021-09-02T13:21:19",320,16.11,60.998000000000005
"2021-09-03T09:16:42",456,15.84,60.512
"2021-09-03T09:17:12",320,15.84,60.512
"2021-09-03T09:28:34",320,15.84,60.512
"2021-09-03T09:29:05",320,15.84,60.512
"2021-09-03T12:53:49",320,15.84,60.512
"2021-09-03T12:54:20",320,15.84,60.512
"2021-09-03T12:54:51",296,15.84,60.512
"2021-09-03T12:55:22",312,15.84,60.512
"2021-09-04T15:40:27",320,24.88,76.78399999999999
"2021-09-04T15:40:58",320,24.88,76.78399999999999
"2021-09-06T15:50:22",320,27.87,82.166
"2021-09-06T15:50:53",328,27.87,82.166
"2021-09-06T19:58:26",336,27.87,82.166
"2021-09-06T19:58:57",328,27.87,82.166
"2021-09-08T15:21:19",328,29.17,84.506
"2021-09-08T15:21:51",352,29.17,84.506
"2021-09-08T15:23:22",176,29.17,84.506
"2021-09-08T15:26:39",168,29.17,84.506
"2021-09-11T14:08:39",240,24.4,75.92
"2021-09-11T14:09:44",264,24.4,75.92
"2021-09-11T14:10:11",336,24.4,75.92
"2021-09-11T14:10:30",176,24.4,75.92
"2021-09-11T14:10:45",176,24.4,75.92
"2021-09-11T14:11:02",224,24.4,75.92
"2021-09-11T14:11:22",176,24.4,75.92
"2021-09-11T14:11:37",176,24.4,75.92
"2021-09-11T14:11:46",168,24.4,75.92
"2021-09-11T14:12:05",168,24.4,75.92
"2021-09-11T14:12:25",200,24.4,75.92
"2021-09-11T14:13:02",272,24.4,75.92
"2021-09-11T14:13:14",192,24.4,75.92
"2021-09-11T14:13:27",176,24.4,75.92
"2021-09-11T14:13:39",176,24.4,75.92
"2021-09-12T15:17:53",176,28.23,82.814
"2021-09-12T19:54:00",328,28.23,82.814
"2021-09-12T19:54:45",400,28.23,82.814
"2021-09-12T19:55:21",424,28.23,82.814
"2021-09-13T13:05:52",440,20.19,68.34200000000001
"2021-09-13T19:08:54",456,25.52,77.936
"2021-09-14T17:02:26",432,22.7,72.86
"2021-09-14T17:03:21",448,22.7,72.86
"2021-09-15T14:56:59",200,32.34,90.21200000000002
"2021-09-15T14:57:09",176,32.34,90.21200000000002
"2021-09-15T14:57:47",312,32.34,90.21200000000002
"2021-09-15T14:57:59",208,32.34,90.21200000000002
"2021-09-15T14:58:21",384,32.34,90.21200000000002
"2021-09-15T14:58:34",216,32.34,90.21200000000002
"2021-09-15T14:59:36",528,32.34,90.21200000000002
"2021-09-15T15:00:28",528,32.34,90.21200000000002
"2021-09-17T09:54:05",528,18.92,66.05600000000001
"2021-09-17T09:55:47",608,18.92,66.05600000000001
"2021-09-17T10:03:30",608,18.92,66.05600000000001
"2021-09-18T14:21:05",520,22.88,73.184
"2021-09-18T14:22:12",616,22.88,73.184
"2021-09-18T14:22:48",608,22.88,73.184
"2021-09-18T14:23:39",608,22.88,73.184
"2021-09-18T14:28:34",352,22.88,73.184
"2021-09-18T14:28:57",240,22.88,73.184
"2021-09-18T14:30:26",632,22.88,73.184
"2021-09-18T14:31:28",592,22.88,73.184
"2021-09-19T18:17:08",656,21.87,71.366
"2021-09-19T18:17:24",168,21.87,71.366
"2021-09-19T18:18:11",632,21.87,71.366
"2021-09-19T18:19:00",680,21.87,71.366
"2021-09-20T14:38:03",712,22.24,72.032
"2021-09-20T14:39:11",728,22.24,72.032
"2021-09-20T14:39:55",752,22.24,72.032
"2021-09-20T14:41:18",784,22.24,72.032
"2021-09-21T11:05:14",784,15.09,59.162
"2021-09-21T11:05:57",784,15.09,59.162
"2021-09-21T11:06:50",816,15.09,59.162
"2021-09-22T08:01:13",800,21.49,70.68199999999999
"2021-09-22T08:02:04",880,21.49,70.68199999999999
"2021-09-22T08:03:07",848,21.49,70.68199999999999
"2021-09-23T09:05:56",864,21.81,71.258
"2021-09-23T09:06:32",864,21.81,71.258
"2021-09-23T09:07:26",848,21.81,71.258
"2021-09-23T09:08:24",888,21.81,71.258
"2021-09-24T20:34:29",168,23.36,74.048
"2021-09-24T20:35:22",176,23.36,74.048
"2021-09-24T20:36:14",176,23.36,74.048
"2021-09-24T20:36:36",176,23.36,74.048
"2021-09-25T18:11:07",176,23.56,74.408
"2021-09-25T18:11:35",176,23.56,74.408
"2021-09-25T18:12:00",176,23.56,74.408
"2021-09-27T11:09:59",320,15.23,59.414
"2021-09-27T11:10:51",320,15.23,59.414
"2021-09-27T11:11:51",312,15.23,59.414
"2021-09-27T11:12:31",312,15.23,59.414
"2021-09-27T11:12:51",168,15.23,59.414
"2021-09-29T15:38:28",328,17.31,63.158
"2021-09-29T15:39:06",320,17.31,63.158
"2021-09-29T15:39:49",320,17.31,63.158
"2021-09-29T15:40:38",312,17.31,63.158
