Account,Site,Device,Serial No.,Last PSI,Last Full Date,Last Empty Date,Hours Between Full and Empty to Hauler Response Pick Up,Last Success,Pickup Date,Created Date,Reference,Clicked,Notes
Boston University,BU #2 Student Village,BU #2 Student Village 35 Yd,31178,357,,,--,2023-01-04T05:43:08,,2022-12-22T23:39:42,,0,
Boston University,BU Med 700,BU Med 700 Albany 20 Yd,31185,512,,,--,2023-01-04T05:44:38,,2022-12-22T14:39:53,,0,
Boston University,BU #35 22 Babbit,BU #35 22 Babbit 35 Yd,31183,338,,,--,2023-01-04T05:44:28,,2022-12-22T13:00:31,,0,
Boston University,BU #43 West Loading Dock,BU #43 West Loading Dock,31173,456,,,--,2023-01-04T05:35:19,,2022-12-19T17:19:16,,0,
Boston University,BU #90 - School of Law,BU #90 - School of Law 35,31167,434,,,--,2023-01-04T05:32:56,,2022-12-19T09:15:58,,0,
Boston University,BU #46 30 Bay State,BU #46 30 Bay State 20 Yd,31200,709,,,--,2023-01-04T05:32:54,,2022-12-19T01:42:41,,0,
Boston University,BU #108 Agganis Arena,BU #108 Agganis Arena 35 Yd,30851,384,,,--,2023-01-04T05:14:22,,2022-12-18T12:20:25,,0,
Boston University,BU #18 - Warren Hall,BU #18 - Warren Hall 20 Yd,30946,964,,,--,2023-01-04T05:05:42,,2022-12-18T03:05:07,,0,
Boston University,BU Fenway,BU Fenway Trash 20 Yd,30935,1393,,,--,2023-01-04T05:35:59,,2022-12-16T23:58:15,,0,
Boston University,BU #43 West Loading Dock,BU #43 West Loading Dock,31173,456,,,--,2023-01-04T05:35:19,,2022-12-13T14:59:28,,0,
Boston University,BU #2 Student Village,BU #2 Student Village 35 Yd,31178,357,,,--,2023-01-04T05:43:08,,2022-12-13T02:41:54,,0,
Boston University,BU 685 Comm Ave,BU 685 Comm Ave,31164,652,,,--,2023-01-04T05:25:10,,2022-12-13T01:34:31,,0,
Boston University,BU #48 Student Village #2,BU #48 Student Village #2 20 Yd,30932,917,,,--,2023-01-04T05:40:26,,2022-12-12T22:56:42,,0,
Boston University,BU 140 Bay State Rd,140 Bay State,31170,695,,,--,2023-01-04T05:25:09,,2022-12-12T15:05:11,,0,
Boston University,BU #38 Life Sciences,BU #38 Life Sciences 20 Yd,31201,437,,,--,2023-01-04T05:13:57,,2022-12-12T14:39:58,,0,
Boston University,BU #72 Rafik B Hariri,BU #72 Rafik B Hariri 20 YD,31176,458,,,--,2023-01-04T05:24:40,,2022-12-12T12:48:11,,0,
Boston University,BU Med #815 Albany,BU Med 815 Albany 15 Yd,31171,1084,,,--,2023-01-04T05:13:35,,2022-12-11T12:34:52,,0,
Boston University,BU #87 College of Engineering,BU #87 College of Engineering 20 Yd,31168,619,,,--,2023-01-04T05:04:50,,2022-12-10T20:14:47,,0,
Boston University,BU Fenway,BU Fenway Trash 20 Yd,30935,1393,,,--,2023-01-04T05:35:59,,2022-12-10T01:34:09,,0,
Boston University,BU #93 George Sherman Union,BU #93 George Sherman Union 35 Yd,31165,1028,,,--,2023-01-04T05:42:16,,2022-12-08T18:04:37,,0,
Boston University,BU #35 22 Babbit,BU #35 22 Babbit 35 Yd,31183,338,,,--,2023-01-04T05:44:28,,2022-12-06T00:27:58,,0,
Boston University,BU #46 30 Bay State,BU #46 30 Bay State 20 Yd,31200,709,,,--,2023-01-04T05:32:54,,2022-12-02T13:09:16,,0,
Boston University,BU #18 - Warren Hall,BU #18 - Warren Hall 20 Yd,30946,964,,,--,2023-01-04T05:05:42,,2022-12-01T13:40:15,,0,
Boston University,BU #48 Student Village #2,BU #48 Student Village #2 20 Yd,30932,917,,,--,2023-01-04T05:40:26,,2022-12-01T00:49:18,,0,
Boston University,BU Fenway,BU Fenway Trash 20 Yd,30935,1393,,,--,2023-01-04T05:35:59,,2022-11-30T12:43:05,,0,
Boston University,BU #69 - Graduate Apartments,BU #69 - Graduate Apartments 17 Yd,31186,1148,,,--,2023-01-04T05:42:02,,2022-11-23T18:08:33,,0,
Boston University,BU #2 Student Village,BU #2 Student Village 35 Yd,31178,357,,,--,2023-01-04T05:43:08,,2022-11-23T14:49:57,,0,
Boston University,BU Med #815 Albany,BU Med 815 Albany 15 Yd,31171,1084,,,--,2023-01-04T05:13:35,,2022-11-23T12:15:09,,0,
Boston University,BU #90 - School of Law,BU #90 - School of Law 35,31167,434,,,--,2023-01-04T05:32:56,,2022-11-23T06:16:58,,0,
Boston University,BU #43 West Loading Dock,BU #43 West Loading Dock,31173,456,,,--,2023-01-04T05:35:19,,2022-11-22T15:52:42,,0,
Boston University,BU #82 Warren Towers 35,BU #82 Warren Towers 35 Yd,31180,253,,,--,2023-01-04T05:25:18,,2022-11-21T12:28:10,,0,
Boston University,BU #93 George Sherman Union,BU #93 George Sherman Union 35 Yd,31165,1028,,,--,2023-01-04T05:42:16,,2022-11-20T13:32:04,,0,
Boston University,BU Fenway,BU Fenway Trash 20 Yd,30935,1393,,,--,2023-01-04T05:35:59,,2022-11-18T12:40:41,,0,
Boston University,BU #48 Student Village #2,BU #48 Student Village #2 20 Yd,30932,917,,,--,2023-01-04T05:40:26,,2022-11-18T03:28:20,,0,
Boston University,BU 685 Comm Ave,BU 685 Comm Ave,31164,652,,,--,2023-01-04T05:25:10,,2022-11-18T02:49:04,,0,
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,1132,,,--,2023-01-04T05:24:56,,2022-11-18T00:47:03,,0,
Boston University,BU #108 Agganis Arena,BU #108 Agganis Arena 35 Yd,30851,384,,,--,2023-01-04T05:14:22,,2022-11-17T21:20:50,,0,
Boston University,BU #87 College of Engineering,BU #87 College of Engineering 20 Yd,31168,619,,,--,2023-01-04T05:04:50,,2022-11-17T19:02:16,,0,
Boston University,BU #43 West Loading Dock,BU #43 West Loading Dock,31173,456,,,--,2023-01-04T05:35:19,,2022-11-16T13:13:46,,0,
Boston University,BU 140 Bay State Rd,140 Bay State,31170,695,,,--,2023-01-04T05:25:09,,2022-11-16T12:47:50,,0,
Boston University,BU #35 22 Babbit,BU #35 22 Babbit 35 Yd,31183,338,,,--,2023-01-04T05:44:28,,2022-11-14T14:49:55,,0,
Boston University,BU #93 George Sherman Union,BU #93 George Sherman Union 35 Yd,31165,1028,,,--,2023-01-04T05:42:16,,2022-11-10T20:51:12,,0,
Boston University,BU Fenway,BU Fenway Trash 20 Yd,30935,1393,,,--,2023-01-04T05:35:59,,2022-11-10T17:34:59,,0,
Boston University,BU #38 Life Sciences,BU #38 Life Sciences 20 Yd,31201,437,,,--,2023-01-04T05:13:57,,2022-11-10T12:44:23,,0,
Boston University,BU Med #815 Albany,BU Med 815 Albany 15 Yd,31171,1084,,,--,2023-01-04T05:13:35,,2022-11-09T17:48:33,,0,
Boston University,BU #48 Student Village #2,BU #48 Student Village #2 20 Yd,30932,917,,,--,2023-01-04T05:40:26,,2022-11-06T22:45:17,,0,
Boston University,BU #18 - Warren Hall,BU #18 - Warren Hall 20 Yd,30946,964,,,--,2023-01-04T05:05:42,,2022-11-06T20:02:34,,0,
Boston University,BU #82 Warren Towers 35,BU #82 Warren Towers 35 Yd,31180,253,,,--,2023-01-04T05:25:18,,2022-11-06T15:03:53,,0,
Boston University,BU #2 Student Village,BU #2 Student Village 35 Yd,31178,357,,,--,2023-01-04T05:43:08,,2022-11-06T00:09:16,,0,
Boston University,BU Fenway,BU Fenway Trash 20 Yd,30935,1393,,,--,2023-01-04T05:35:59,,2022-11-02T11:44:01,,0,
Boston University,BU #87 College of Engineering,BU #87 College of Engineering 20 Yd,31168,619,,,--,2023-01-04T05:04:50,,2022-11-02T05:55:30,,0,
Boston University,BU #43 West Loading Dock,BU #43 West Loading Dock,31173,456,,,--,2023-01-04T05:35:19,,2022-11-01T22:48:01,,0,
Boston University,BU Fenway,BU Fenway Recycle,31175,919,,,--,2023-01-04T05:05:10,,2022-10-31T12:27:30,,0,
Boston University,BU 685 Comm Ave,BU 685 Comm Ave,31164,652,,,--,2023-01-04T05:25:10,,2022-10-28T06:48:54,,0,
Boston University,BU #46 30 Bay State,BU #46 30 Bay State 20 Yd,31200,709,,,--,2023-01-04T05:32:54,,2022-10-27T14:13:02,,0,
Boston University,BU 140 Bay State Rd,140 Bay State,31170,695,,,--,2023-01-04T05:25:09,,2022-10-27T13:33:27,,0,
Boston University,BU #108 Agganis Arena,BU #108 Agganis Arena 35 Yd,30851,384,,,--,2023-01-04T05:14:22,,2022-10-27T10:12:38,,0,
Boston University,BU #93 George Sherman Union,BU #93 George Sherman Union 35 Yd,31165,1028,,,--,2023-01-04T05:42:16,,2022-10-26T22:33:38,,0,
Boston University,BU #90 - School of Law,BU #90 - School of Law 35,31167,434,,,--,2023-01-04T05:32:56,,2022-10-26T10:53:15,,0,
Boston University,BU #43 West Loading Dock,BU #43 West Loading Dock,31173,456,,,--,2023-01-04T05:35:19,,2022-10-25T23:35:16,,0,
Boston University,BU Fenway,BU Fenway Trash 20 Yd,30935,1393,,,--,2023-01-04T05:35:59,,2022-10-24T10:49:02,,0,
Boston University,BU #48 Student Village #2,BU #48 Student Village #2 20 Yd,30932,917,,,--,2023-01-04T05:40:26,,2022-10-22T18:22:50,,0,
Boston University,BU #96 808 Commonwealth,BU #96 808 Comm Ave 35 Yd,31174,1062,,,--,2023-01-04T05:04:37,,2022-10-21T11:44:36,,0,
