Account,Site,Device,Serial No.,Alert Type,Beginning Date,End Date,Days Open
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,Full Event Not Triggered,2021-08-25T12:29:06,2021-08-29T15:11:26,4
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,Device Comm Error,2021-09-01T20:05:03,2021-09-01T20:09:28,0
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,Full Event Not Triggered,2021-09-09T20:13:29,2021-09-29T19:23:02,19
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,Device Comm Error,2021-10-02T15:21:02,2021-10-06T11:11:08,4
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,No PSI Readings,2021-10-05T04:18:01,2021-10-06T11:11:08,1
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,No PSI Readings,2021-10-12T06:27:08,2021-10-12T19:56:14,0
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,No PSI Readings,2021-10-31T07:23:33,2021-11-02T07:28:39,2
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,Full Event Not Triggered,2021-10-07T07:20:10,2021-11-04T20:59:16,29
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,No PSI Readings,2021-11-09T06:41:07,2021-11-10T06:39:48,1
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,No PSI Readings,2021-11-28T18:35:57,2021-11-29T18:44:51,1
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,Device Comm Error,2021-12-21T02:46:49,2021-12-21T18:11:01,0
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,No PSI Readings,2021-12-21T02:46:49,2021-12-21T18:11:01,0
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,No PSI Readings,2021-12-27T05:59:51,2021-12-27T18:22:04,0
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,No PSI Readings,2022-01-02T05:19:56,2022-01-03T17:53:37,1
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,Device Comm Error,2022-01-05T02:56:50,2022-01-05T18:01:26,0
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,Device Comm Error,2022-01-12T13:33:38,2022-01-12T17:42:10,0
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,Device Comm Error,2022-01-22T12:58:41,2022-01-24T18:03:16,2
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,No PSI Readings,2022-01-24T02:16:52,2022-01-24T18:03:16,0
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,Full Event Not Triggered,2021-11-12T05:43:23,2022-01-31T18:21:34,80
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,Device Comm Error,2022-02-01T13:57:04,2022-02-02T10:35:02,1
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,No PSI Readings,2022-02-01T13:57:04,2022-02-02T10:35:02,1
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,Device Comm Error,2022-02-06T01:56:55,2022-02-07T09:16:09,1
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,No PSI Readings,2022-02-22T05:41:38,2022-02-22T18:11:07,0
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,Device Comm Error,2022-02-26T13:42:17,2022-03-14T11:33:00,16
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,Device Comm Error,2022-03-15T03:21:58,2022-03-15T08:12:31,0
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,No PSI Readings,2022-02-28T01:42:49,2022-03-15T08:12:31,15
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,Full Event Not Triggered,2022-01-31T18:22:26,2022-03-24T22:00:12,53
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,No PSI Readings,2022-04-19T06:22:58,2022-04-19T18:39:14,0
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,Full Event Not Triggered,2022-04-01T05:58:14,2022-05-04T08:31:08,33
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,No PSI Readings,2022-06-20T06:21:50,2022-06-28T06:57:15,8
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,Full Event Not Triggered,2022-05-11T18:24:02,2022-06-28T21:41:36,49
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,Device Comm Error,2022-07-02T07:17:38,2022-07-02T07:37:59,0
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,No PSI Readings,2022-07-02T07:17:38,2022-07-02T09:55:05,0
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,No PSI Readings,2022-07-11T07:04:52,2022-07-19T19:21:15,8
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,Transducer Offline,2022-06-17T18:37:40,2022-08-25T13:09:48,69
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,No PSI Readings,2022-07-23T07:06:56,2022-08-25T13:09:48,33
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,Full Event Not Triggered,2022-07-09T19:10:23,2022-09-01T20:52:21,55
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,Full Event Not Triggered,2022-09-09T07:17:03,2022-10-12T07:20:19,33
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,Device Comm Error,2022-11-09T18:21:15,2022-11-10T05:36:48,1
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,Full Event Not Triggered,2022-10-19T18:06:14,2022-11-17T19:47:03,30
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,No PSI Readings,2022-11-27T05:51:45,2022-11-28T18:41:55,1
Boston University,BU #102 Student Health Services,BU #102 Student Health Services 35 Yd,31203,No PSI Readings,2022-12-26T18:44:25,2022-12-28T05:43:35,2
